received Time: 1373.799999999846	 sent Time 780.3000000001089
received Time: 781.2000000001091	 sent Time 780.3000000001089
received Time: 794.8000000001122	 sent Time 780.3000000001089
received Time: 1886.5999999993796	 sent Time 780.3000000001089
received Time: 2888.2999999984686	 sent Time 780.3000000001089
received Time: 1293.9999999999186	 sent Time 780.3000000001089
received Time: 798.400000000113	 sent Time 780.3000000001089
received Time: 2423.899999998891	 sent Time 780.3000000001089
received Time: 880.6000000001317	 sent Time 780.3000000001089
received Time: 2671.4999999986658	 sent Time 780.3000000001089
received Time: 907.2000000001377	 sent Time 780.3000000001089
received Time: 1472.1999999997565	 sent Time 780.3000000001089
received Time: 2671.7999999986655	 sent Time 780.3000000001089
received Time: 1472.2999999997564	 sent Time 780.3000000001089
received Time: 1205.1999999999994	 sent Time 780.3000000001089
received Time: 3148.7999999982317	 sent Time 780.3000000001089
received Time: 2200.499999999094	 sent Time 780.3000000001089
received Time: 2423.799999998891	 sent Time 780.3000000001089
received Time: 1886.9999999993793	 sent Time 780.3000000001089
received Time: 1047.6000000001427	 sent Time 780.3000000001089
received Time: 2671.6999999986656	 sent Time 780.3000000001089
received Time: 1803.3999999994553	 sent Time 780.3000000001089
received Time: 2248.89999999905	 sent Time 780.3000000001089
received Time: 2387.9999999989236	 sent Time 780.3000000001089
received Time: 2888.099999998469	 sent Time 780.3000000001089
received Time: 1790.0999999994674	 sent Time 780.3000000001089
received Time: 2887.799999998469	 sent Time 780.3000000001089
received Time: 781.100000000109	 sent Time 780.3000000001089
received Time: 1789.8999999994676	 sent Time 780.3000000001089
received Time: 787.6000000001105	 sent Time 780.3000000001089
received Time: 969.5000000001519	 sent Time 780.3000000001089
received Time: 1841.9999999994202	 sent Time 780.3000000001089
received Time: 1294.699999999918	 sent Time 780.3000000001089
received Time: 1897.19999999937	 sent Time 780.3000000001089
received Time: 1047.9000000001424	 sent Time 780.3000000001089
received Time: 2249.09999999905	 sent Time 780.3000000001089
received Time: 1374.2999999998456	 sent Time 780.3000000001089
received Time: 2248.6999999990503	 sent Time 780.3000000001089
received Time: 1373.899999999846	 sent Time 780.3000000001089
received Time: 1023.3000000001641	 sent Time 780.3000000001089
received Time: 1789.6999999994678	 sent Time 780.3000000001089
received Time: 1267.8999999999423	 sent Time 780.3000000001089
received Time: 2387.799999998924	 sent Time 780.3000000001089
received Time: 1048.0000000001423	 sent Time 780.3000000001089
received Time: 1897.3999999993698	 sent Time 780.3000000001089
received Time: 780.700000000109	 sent Time 780.3000000001089
received Time: 1803.799999999455	 sent Time 780.3000000001089
received Time: 1897.4999999993697	 sent Time 780.3000000001089
received Time: 1897.29999999937	 sent Time 780.3000000001089
received Time: 799.8000000001133	 sent Time 780.3000000001089
received Time: 1023.4000000001641	 sent Time 780.3000000001089
received Time: 1803.699999999455	 sent Time 780.3000000001089
received Time: 780.900000000109	 sent Time 780.3000000001089
received Time: 825.8000000001192	 sent Time 780.3000000001089
received Time: 1087.2000000001067	 sent Time 780.3000000001089
received Time: 1047.5000000001428	 sent Time 780.3000000001089
received Time: 1374.0999999998457	 sent Time 780.3000000001089
received Time: 1886.4999999993797	 sent Time 780.3000000001089
received Time: 825.9000000001192	 sent Time 780.3000000001089
received Time: 1374.4999999998454	 sent Time 780.3000000001089
received Time: 1843.399999999419	 sent Time 1320.7999999998942
received Time: 1841.7999999994204	 sent Time 1320.7999999998942
received Time: 1330.4999999998854	 sent Time 1320.7999999998942
received Time: 1897.8999999993694	 sent Time 1320.7999999998942
received Time: 1344.2999999998729	 sent Time 1320.7999999998942
received Time: 4346.19999999828	 sent Time 1320.7999999998942
received Time: 1886.8999999993794	 sent Time 1320.7999999998942
received Time: 2803.8999999985454	 sent Time 1320.7999999998942
received Time: 1321.5999999998935	 sent Time 1320.7999999998942
received Time: 1842.09999999942	 sent Time 1320.7999999998942
received Time: 2387.399999998924	 sent Time 1320.7999999998942
received Time: 1321.1999999998939	 sent Time 1320.7999999998942
received Time: 2671.8999999986654	 sent Time 1320.7999999998942
received Time: 1344.099999999873	 sent Time 1320.7999999998942
received Time: 1438.9999999997867	 sent Time 1320.7999999998942
received Time: 1335.299999999881	 sent Time 1320.7999999998942
received Time: 1843.5999999994187	 sent Time 1320.7999999998942
received Time: 3367.399999998033	 sent Time 1320.7999999998942
received Time: 1472.3999999997563	 sent Time 1320.7999999998942
received Time: 3704.1999999977265	 sent Time 1320.7999999998942
received Time: 2699.2999999986405	 sent Time 1320.7999999998942
received Time: 1354.8999999998632	 sent Time 1320.7999999998942
received Time: 1803.9999999994548	 sent Time 1320.7999999998942
received Time: 4158.399999997597	 sent Time 1320.7999999998942
received Time: 2388.1999999989234	 sent Time 1320.7999999998942
received Time: 2803.299999998546	 sent Time 1320.7999999998942
received Time: 1370.599999999849	 sent Time 1320.7999999998942
received Time: 2387.2999999989242	 sent Time 1320.7999999998942
received Time: 3300.099999998094	 sent Time 1320.7999999998942
received Time: 1803.5999999994551	 sent Time 1320.7999999998942
received Time: 1789.7999999994677	 sent Time 1320.7999999998942
received Time: 1344.7999999998724	 sent Time 1320.7999999998942
received Time: 1790.1999999994673	 sent Time 1320.7999999998942
received Time: 1841.8999999994203	 sent Time 1320.7999999998942
received Time: 1789.9999999994675	 sent Time 1320.7999999998942
received Time: 1897.7999999993694	 sent Time 1320.7999999998942
received Time: 3149.0999999982314	 sent Time 1320.7999999998942
received Time: 1841.6999999994205	 sent Time 1320.7999999998942
received Time: 1919.29999999935	 sent Time 1320.7999999998942
received Time: 1841.2999999994208	 sent Time 1320.7999999998942
received Time: 1374.6999999998452	 sent Time 1320.7999999998942
received Time: 1328.8999999998869	 sent Time 1320.7999999998942
received Time: 1380.49999999984	 sent Time 1320.7999999998942
received Time: 1338.699999999878	 sent Time 1320.7999999998942
received Time: 2387.499999998924	 sent Time 1320.7999999998942
received Time: 2671.9999999986653	 sent Time 1320.7999999998942
received Time: 2888.1999999984687	 sent Time 1320.7999999998942
received Time: 1843.6999999994187	 sent Time 1320.7999999998942
received Time: 1841.4999999994207	 sent Time 1320.7999999998942
received Time: 2887.899999998469	 sent Time 1320.7999999998942
received Time: 1670.9999999995757	 sent Time 1320.7999999998942
received Time: 3324.6999999980717	 sent Time 1320.7999999998942
received Time: 1886.7999999993795	 sent Time 1320.7999999998942
received Time: 1328.9999999998868	 sent Time 1320.7999999998942
received Time: 1843.299999999419	 sent Time 1320.7999999998942
received Time: 1886.6999999993795	 sent Time 1320.7999999998942
received Time: 1321.3999999998937	 sent Time 1320.7999999998942
received Time: 2556.3999999987705	 sent Time 1320.7999999998942
received Time: 1803.8999999994548	 sent Time 1320.7999999998942
received Time: 1804.0999999994547	 sent Time 1320.7999999998942
received Time: 2200.3999999990942	 sent Time 1320.7999999998942
received Time: 2556.4999999987704	 sent Time 1320.7999999998942
received Time: 1468.49999999976	 sent Time 1320.7999999998942
received Time: 4345.899999998279	 sent Time 1320.7999999998942
received Time: 1919.3999999993498	 sent Time 1320.7999999998942
received Time: 2386.8999999989246	 sent Time 1801.599999999457
received Time: 1841.3999999994207	 sent Time 1801.599999999457
received Time: 3150.1999999982304	 sent Time 1801.599999999457
received Time: 2804.199999998545	 sent Time 1801.599999999457
received Time: 4200.49999999775	 sent Time 1801.599999999457
received Time: 1899.7999999993676	 sent Time 1801.599999999457
received Time: 2671.5999999986657	 sent Time 1801.599999999457
received Time: 4201.499999997754	 sent Time 1801.599999999457
received Time: 3300.299999998094	 sent Time 1801.599999999457
received Time: 1815.5999999994442	 sent Time 1801.599999999457
received Time: 2986.899999998379	 sent Time 1801.599999999457
received Time: 2387.699999998924	 sent Time 1801.599999999457
received Time: 2803.199999998546	 sent Time 1801.599999999457
received Time: 2637.8999999986963	 sent Time 1801.599999999457
received Time: 2821.699999998529	 sent Time 1801.599999999457
received Time: 2200.2999999990943	 sent Time 1801.599999999457
received Time: 1901.2999999993663	 sent Time 1801.599999999457
received Time: 3150.2999999982303	 sent Time 1801.599999999457
received Time: 1919.4999999993497	 sent Time 1801.599999999457
