Run 1/1
Running simulation 'FL_A_Epidemic_100_SPMBM'
received Time: 5434.200000002238	 sent Time 5285.400000001697
received Time: 7407.800000009418	 sent Time 5285.400000001697
received Time: 7349.100000009204	 sent Time 5285.400000001697
received Time: 5412.900000002161	 sent Time 5285.400000001697
received Time: 6405.900000005773	 sent Time 5285.400000001697
received Time: 8285.800000012612	 sent Time 5285.400000001697
received Time: 5491.800000002448	 sent Time 5285.400000001697
received Time: 8287.300000012618	 sent Time 5285.400000001697
received Time: 8075.500000011847	 sent Time 5285.400000001697
received Time: 6342.400000005542	 sent Time 5285.400000001697
received Time: 5435.200000002242	 sent Time 5285.400000001697
received Time: 7177.6000000085805	 sent Time 5285.400000001697
received Time: 6172.700000004925	 sent Time 5285.400000001697
received Time: 7161.800000008523	 sent Time 5285.400000001697
received Time: 5620.000000002914	 sent Time 5285.400000001697
received Time: 6173.000000004926	 sent Time 5285.400000001697
received Time: 9323.700000016388	 sent Time 5285.400000001697
received Time: 6343.200000005545	 sent Time 5285.400000001697
received Time: 9324.00000001639	 sent Time 5285.400000001697
received Time: 7178.100000008582	 sent Time 5285.400000001697
received Time: 5435.100000002241	 sent Time 5285.400000001697
received Time: 5285.6000000016975	 sent Time 5285.400000001697
received Time: 7407.100000009415	 sent Time 5285.400000001697
received Time: 5435.300000002242	 sent Time 5285.400000001697
received Time: 5650.800000003026	 sent Time 5285.400000001697
received Time: 5661.200000003064	 sent Time 5285.400000001697
received Time: 5862.900000003798	 sent Time 5285.400000001697
received Time: 7407.700000009418	 sent Time 5945.400000004098
received Time: 7349.000000009204	 sent Time 5945.400000004098
received Time: 6772.900000007108	 sent Time 5945.400000004098
received Time: 7406.900000009415	 sent Time 5945.400000004098
received Time: 8286.800000012616	 sent Time 5945.400000004098
received Time: 7348.700000009203	 sent Time 5945.400000004098
received Time: 7177.900000008582	 sent Time 5945.400000004098
received Time: 7017.6000000079985	 sent Time 5945.400000004098
received Time: 7408.200000009419	 sent Time 5945.400000004098
received Time: 7017.700000007999	 sent Time 5945.400000004098
received Time: 6484.80000000606	 sent Time 5945.400000004098
received Time: 7751.8000000106695	 sent Time 5945.400000004098
received Time: 6106.500000004684	 sent Time 5945.400000004098
received Time: 7178.7000000085845	 sent Time 5945.400000004098
received Time: 5968.900000004183	 sent Time 5945.400000004098
received Time: 8284.200000012606	 sent Time 5945.400000004098
received Time: 7407.500000009417	 sent Time 5945.400000004098
received Time: 6773.000000007109	 sent Time 5945.400000004098
received Time: 6343.100000005545	 sent Time 5945.400000004098
received Time: 5968.4000000041815	 sent Time 5945.400000004098
received Time: 6172.200000004923	 sent Time 5945.400000004098
received Time: 8285.500000012611	 sent Time 5945.400000004098
received Time: 5945.9000000041	 sent Time 5945.400000004098
received Time: 8285.700000012612	 sent Time 5945.400000004098
received Time: 5960.300000004152	 sent Time 5945.400000004098
received Time: 6342.800000005544	 sent Time 5945.400000004098
received Time: 7590.900000010084	 sent Time 5945.400000004098
received Time: 6034.400000004422	 sent Time 5945.400000004098
received Time: 7591.200000010085	 sent Time 5945.400000004098
received Time: 6279.200000005312	 sent Time 5945.400000004098
received Time: 7017.800000007999	 sent Time 5945.400000004098
received Time: 7407.000000009415	 sent Time 5945.400000004098
received Time: 6106.700000004685	 sent Time 5945.400000004098
received Time: 9322.800000016385	 sent Time 5945.400000004098
received Time: 5960.500000004153	 sent Time 5945.400000004098
received Time: 7017.000000007996	 sent Time 5945.400000004098
received Time: 8075.100000011846	 sent Time 5945.400000004098
received Time: 8285.40000001261	 sent Time 5945.400000004098
received Time: 5945.700000004099	 sent Time 5945.400000004098
received Time: 7162.100000008524	 sent Time 5945.400000004098
received Time: 7752.100000010671	 sent Time 5945.400000004098
received Time: 8286.000000012613	 sent Time 5945.400000004098
received Time: 7348.900000009204	 sent Time 5945.400000004098
received Time: 7589.70000001008	 sent Time 5945.400000004098
received Time: 6772.500000007107	 sent Time 5945.400000004098
received Time: 8286.400000012614	 sent Time 5945.400000004098
received Time: 5946.0000000041	 sent Time 5945.400000004098
received Time: 8075.400000011847	 sent Time 5945.400000004098
received Time: 6342.5000000055425	 sent Time 5945.400000004098
received Time: 6183.700000004965	 sent Time 5945.400000004098
received Time: 7178.400000008583	 sent Time 5945.400000004098
received Time: 6173.100000004926	 sent Time 5945.400000004098
received Time: 7348.200000009201	 sent Time 5945.400000004098
received Time: 6408.000000005781	 sent Time 5945.400000004098
received Time: 8286.900000012616	 sent Time 5945.400000004098
received Time: 7690.900000010448	 sent Time 5945.400000004098
received Time: 7590.800000010084	 sent Time 5945.400000004098
received Time: 7590.400000010082	 sent Time 5945.400000004098
received Time: 10209.50000001961	 sent Time 5945.400000004098
received Time: 7751.90000001067	 sent Time 5945.400000004098
received Time: 8075.000000011845	 sent Time 5945.400000004098
received Time: 7691.000000010448	 sent Time 5945.400000004098
received Time: 7590.000000010081	 sent Time 5945.400000004098
received Time: 7690.800000010448	 sent Time 5945.400000004098
received Time: 6035.000000004424	 sent Time 5945.400000004098
received Time: 9322.100000016382	 sent Time 6785.400000007154
received Time: 7590.700000010083	 sent Time 6785.400000007154
received Time: 7589.9000000100805	 sent Time 6785.400000007154
received Time: 9323.200000016386	 sent Time 6785.400000007154
received Time: 8287.000000012617	 sent Time 6785.400000007154
received Time: 9324.30000001639	 sent Time 6785.400000007154
received Time: 7590.200000010082	 sent Time 6785.400000007154
received Time: 7178.300000008583	 sent Time 6785.400000007154
received Time: 9323.800000016388	 sent Time 6785.400000007154
received Time: 9326.000000016396	 sent Time 6785.400000007154
received Time: 7028.700000008039	 sent Time 6785.400000007154
received Time: 7751.700000010669	 sent Time 6785.400000007154
received Time: 7752.400000010672	 sent Time 6785.400000007154
received Time: 8075.700000011848	 sent Time 6785.400000007154
received Time: 7349.200000009205	 sent Time 6785.400000007154
received Time: 9323.900000016389	 sent Time 6785.400000007154
received Time: 8285.600000012611	 sent Time 6785.400000007154
received Time: 8286.200000012614	 sent Time 6785.400000007154
received Time: 7590.500000010083	 sent Time 6785.400000007154
received Time: 7752.600000010672	 sent Time 6785.400000007154
received Time: 9857.30000001833	 sent Time 6785.400000007154
received Time: 6785.600000007154	 sent Time 6785.400000007154
received Time: 9325.200000016393	 sent Time 6785.400000007154
received Time: 8285.00000001261	 sent Time 6785.400000007154
received Time: 9324.900000016392	 sent Time 6785.400000007154
received Time: 7591.700000010087	 sent Time 6785.400000007154
received Time: 9326.8000000164	 sent Time 6785.400000007154
received Time: 7752.00000001067	 sent Time 6785.400000007154
received Time: 7589.300000010078	 sent Time 6785.400000007154
received Time: 9326.200000016397	 sent Time 6785.400000007154
received Time: 7018.000000008	 sent Time 6785.400000007154
received Time: 7407.4000000094165	 sent Time 6785.400000007154
received Time: 6806.5000000072305	 sent Time 6785.400000007154
received Time: 8295.800000012649	 sent Time 6785.400000007154
received Time: 7178.500000008584	 sent Time 6785.400000007154
received Time: 10369.800000020194	 sent Time 6785.400000007154
received Time: 8284.400000012607	 sent Time 6785.400000007154
received Time: 7590.300000010082	 sent Time 6785.400000007154
received Time: 7161.700000008523	 sent Time 6785.400000007154
received Time: 7752.300000010671	 sent Time 6785.400000007154
received Time: 8284.500000012607	 sent Time 6785.400000007154
received Time: 7591.0000000100845	 sent Time 6785.400000007154
received Time: 7591.300000010086	 sent Time 6785.400000007154
received Time: 7589.600000010079	 sent Time 6785.400000007154
received Time: 8286.300000012614	 sent Time 6785.400000007154
received Time: 9325.900000016396	 sent Time 6785.400000007154
received Time: 10370.000000020194	 sent Time 6785.400000007154
received Time: 9325.500000016395	 sent Time 6785.400000007154
received Time: 7178.000000008582	 sent Time 6785.400000007154
received Time: 6806.700000007231	 sent Time 6785.400000007154
received Time: 7590.100000010081	 sent Time 6785.400000007154
received Time: 7408.40000000942	 sent Time 6785.400000007154
received Time: 7589.500000010079	 sent Time 6785.400000007154
received Time: 7589.400000010079	 sent Time 6785.400000007154
received Time: 9837.300000018256	 sent Time 6785.400000007154
received Time: 9323.400000016387	 sent Time 6785.400000007154
received Time: 7690.700000010447	 sent Time 6785.400000007154
received Time: 9325.600000016395	 sent Time 6785.400000007154
received Time: 7590.600000010083	 sent Time 6785.400000007154
received Time: 7591.800000010087	 sent Time 6785.400000007154
received Time: 10209.700000019611	 sent Time 6785.400000007154
received Time: 7752.500000010672	 sent Time 6785.400000007154
received Time: 10368.200000020188	 sent Time 6785.400000007154
received Time: 9857.70000001833	 sent Time 6785.400000007154
received Time: 7591.400000010086	 sent Time 6785.400000007154
received Time: 9858.700000018334	 sent Time 6785.400000007154
received Time: 7407.300000009416	 sent Time 6785.400000007154
received Time: 10369.500000020193	 sent Time 7625.40000001021
received Time: 8296.00000001265	 sent Time 7625.40000001021
received Time: 9783.600000018061	 sent Time 7625.40000001021
received Time: 9326.600000016399	 sent Time 7625.40000001021
received Time: 8327.300000012763	 sent Time 7625.40000001021
received Time: 9783.700000018061	 sent Time 7625.40000001021
received Time: 9325.000000016393	 sent Time 7625.40000001021
received Time: 9324.20000001639	 sent Time 7625.40000001021
received Time: 9837.200000018256	 sent Time 7625.40000001021
received Time: 9326.700000016399	 sent Time 7625.40000001021
received Time: 8344.200000012825	 sent Time 7625.40000001021
received Time: 8344.300000012825	 sent Time 7625.40000001021
received Time: 7625.700000010211	 sent Time 7625.40000001021
received Time: 10369.700000020193	 sent Time 7625.40000001021
received Time: 8284.800000012609	 sent Time 7625.40000001021
received Time: 8327.600000012764	 sent Time 7625.40000001021
received Time: 8075.300000011846	 sent Time 7625.40000001021
received Time: 8296.20000001265	 sent Time 7625.40000001021
received Time: 9859.200000018336	 sent Time 7625.40000001021
received Time: 9324.700000016392	 sent Time 7625.40000001021
received Time: 9326.400000016398	 sent Time 7625.40000001021
received Time: 13587.100000031898	 sent Time 7625.40000001021
received Time: 8296.40000001265	 sent Time 7625.40000001021
received Time: 9324.800000016392	 sent Time 7625.40000001021
received Time: 9323.100000016386	 sent Time 7625.40000001021
received Time: 9323.300000016387	 sent Time 7625.40000001021
received Time: 9321.30000001638	 sent Time 7625.40000001021
received Time: 8344.000000012824	 sent Time 7625.40000001021
received Time: 7625.900000010211	 sent Time 7625.40000001021
received Time: 9322.200000016383	 sent Time 7625.40000001021
received Time: 9858.100000018332	 sent Time 7625.40000001021
received Time: 8344.400000012825	 sent Time 7625.40000001021
received Time: 8284.300000012607	 sent Time 7625.40000001021
received Time: 10369.100000020191	 sent Time 7625.40000001021
received Time: 9323.000000016385	 sent Time 7625.40000001021
received Time: 9858.900000018335	 sent Time 7625.40000001021
received Time: 8296.30000001265	 sent Time 7625.40000001021
received Time: 8286.500000012615	 sent Time 7625.40000001021
received Time: 9321.40000001638	 sent Time 7625.40000001021
received Time: 9322.000000016382	 sent Time 7625.40000001021
received Time: 9858.000000018332	 sent Time 7625.40000001021
received Time: 11015.600000022543	 sent Time 7625.40000001021
received Time: 8296.10000001265	 sent Time 7625.40000001021
received Time: 9324.500000016391	 sent Time 7625.40000001021
received Time: 9324.10000001639	 sent Time 7625.40000001021
received Time: 9859.000000018335	 sent Time 7625.40000001021
received Time: 8286.600000012615	 sent Time 7625.40000001021
received Time: 8295.900000012649	 sent Time 7625.40000001021
received Time: 8344.100000012824	 sent Time 7625.40000001021
received Time: 9857.40000001833	 sent Time 7625.40000001021
received Time: 10368.100000020188	 sent Time 7625.40000001021
received Time: 8075.600000011847	 sent Time 7625.40000001021
received Time: 9323.500000016387	 sent Time 7625.40000001021
received Time: 8075.200000011846	 sent Time 7625.40000001021
received Time: 8295.700000012648	 sent Time 7625.40000001021
received Time: 10210.000000019612	 sent Time 7625.40000001021
received Time: 9325.700000016395	 sent Time 7625.40000001021
received Time: 9857.60000001833	 sent Time 7625.40000001021
received Time: 11183.100000023152	 sent Time 7625.40000001021
received Time: 10370.100000020195	 sent Time 8345.400000012829
received Time: 9327.2000000164	 sent Time 8345.400000012829
received Time: 11480.500000024234	 sent Time 8345.400000012829
received Time: 11183.300000023153	 sent Time 8345.400000012829
received Time: 9857.000000018328	 sent Time 8345.400000012829
received Time: 11015.200000022542	 sent Time 8345.400000012829
received Time: 8458.20000001324	 sent Time 8345.400000012829
received Time: 9783.40000001806	 sent Time 8345.400000012829
received Time: 9325.800000016396	 sent Time 8345.400000012829
received Time: 9322.400000016383	 sent Time 8345.400000012829
received Time: 9837.400000018257	 sent Time 8345.400000012829
received Time: 9327.300000016401	 sent Time 8345.400000012829
received Time: 11015.500000022543	 sent Time 8345.400000012829
received Time: 9858.500000018334	 sent Time 8345.400000012829
received Time: 9857.100000018329	 sent Time 8345.400000012829
received Time: 8345.70000001283	 sent Time 8345.400000012829
received Time: 8466.200000013268	 sent Time 8345.400000012829
received Time: 9322.300000016383	 sent Time 8345.400000012829
received Time: 9783.20000001806	 sent Time 8345.400000012829
received Time: 9857.900000018331	 sent Time 8345.400000012829
received Time: 9857.800000018331	 sent Time 8345.400000012829
received Time: 11015.700000022543	 sent Time 8345.400000012829
received Time: 10369.00000002019	 sent Time 8345.400000012829
received Time: 11480.400000024234	 sent Time 8345.400000012829
received Time: 9321.50000001638	 sent Time 8345.400000012829
received Time: 9322.600000016384	 sent Time 8345.400000012829
received Time: 11183.000000023152	 sent Time 8345.400000012829
received Time: 9859.300000018337	 sent Time 8345.400000012829
received Time: 9783.800000018062	 sent Time 8345.400000012829
received Time: 8376.00000001294	 sent Time 8345.400000012829
received Time: 10209.900000019612	 sent Time 8345.400000012829
received Time: 9321.70000001638	 sent Time 8345.400000012829
received Time: 9858.400000018333	 sent Time 8345.400000012829
received Time: 10209.60000001961	 sent Time 8345.400000012829
received Time: 10368.70000002019	 sent Time 8345.400000012829
received Time: 10368.300000020188	 sent Time 8345.400000012829
received Time: 9783.000000018059	 sent Time 8345.400000012829
received Time: 9857.50000001833	 sent Time 8345.400000012829
received Time: 10368.500000020189	 sent Time 8345.400000012829
received Time: 8458.30000001324	 sent Time 8345.400000012829
received Time: 9321.800000016381	 sent Time 8345.400000012829
received Time: 9783.50000001806	 sent Time 8345.400000012829
received Time: 9859.100000018336	 sent Time 8345.400000012829
received Time: 9321.900000016381	 sent Time 8345.400000012829
received Time: 9325.100000016393	 sent Time 8345.400000012829
received Time: 11015.400000022542	 sent Time 8345.400000012829
received Time: 9858.200000018333	 sent Time 8345.400000012829
received Time: 10369.600000020193	 sent Time 8345.400000012829
received Time: 11183.200000023153	 sent Time 8345.400000012829
received Time: 10368.400000020189	 sent Time 8345.400000012829
received Time: 10370.300000020196	 sent Time 8345.400000012829
received Time: 8345.80000001283	 sent Time 8345.400000012829
received Time: 9858.600000018334	 sent Time 8345.400000012829
received Time: 10369.300000020192	 sent Time 8345.400000012829
received Time: 11015.300000022542	 sent Time 8345.400000012829
received Time: 8458.40000001324	 sent Time 8345.400000012829
received Time: 9783.10000001806	 sent Time 8345.400000012829
received Time: 11015.100000022541	 sent Time 8345.400000012829
received Time: 9323.600000016388	 sent Time 8345.400000012829
received Time: 10209.800000019612	 sent Time 8345.400000012829
received Time: 9859.400000018337	 sent Time 8345.400000012829
received Time: 10369.400000020192	 sent Time 8345.400000012829
received Time: 9857.200000018329	 sent Time 8345.400000012829
received Time: 10370.200000020195	 sent Time 8345.400000012829
received Time: 9858.800000018335	 sent Time 8345.400000012829
avgAoI: 1411.0141975339054 | overhead: 1.0648148148148149 | validDeliveries: 648
12839.1 14400: 0.61 1/s
Simulation done in 12839.06s
---
All done in 12839.30s
