Run 1/1
Running simulation 'FL_A_Epidemic_100_RWP'
received Time: 920.6000000001408	 sent Time 840.3000000001225
received Time: 1303.9999999999095	 sent Time 840.3000000001225
received Time: 1580.7999999996578	 sent Time 840.3000000001225
received Time: 1049.1000000001413	 sent Time 840.3000000001225
received Time: 1040.4000000001492	 sent Time 840.3000000001225
received Time: 1306.699999999907	 sent Time 840.3000000001225
received Time: 1304.3999999999091	 sent Time 840.3000000001225
received Time: 1158.200000000042	 sent Time 840.3000000001225
received Time: 1211.199999999994	 sent Time 840.3000000001225
received Time: 1989.499999999286	 sent Time 840.3000000001225
received Time: 2407.8999999989055	 sent Time 840.3000000001225
received Time: 841.1000000001227	 sent Time 840.3000000001225
received Time: 1071.0000000001214	 sent Time 840.3000000001225
received Time: 841.6000000001228	 sent Time 840.3000000001225
received Time: 978.700000000154	 sent Time 840.3000000001225
received Time: 1422.7999999998015	 sent Time 840.3000000001225
received Time: 1048.0000000001423	 sent Time 840.3000000001225
received Time: 1070.9000000001215	 sent Time 840.3000000001225
received Time: 1047.8000000001425	 sent Time 840.3000000001225
received Time: 1307.0999999999067	 sent Time 840.3000000001225
received Time: 1305.599999999908	 sent Time 840.3000000001225
received Time: 1306.9999999999068	 sent Time 840.3000000001225
received Time: 909.7000000001383	 sent Time 840.3000000001225
received Time: 1090.3000000001039	 sent Time 840.3000000001225
received Time: 944.4000000001462	 sent Time 840.3000000001225
received Time: 2033.7999999992458	 sent Time 840.3000000001225
received Time: 915.4000000001396	 sent Time 840.3000000001225
received Time: 1051.5000000001392	 sent Time 840.3000000001225
received Time: 840.9000000001226	 sent Time 840.3000000001225
received Time: 1868.699999999396	 sent Time 840.3000000001225
received Time: 1636.2999999996073	 sent Time 840.3000000001225
received Time: 1051.4000000001392	 sent Time 840.3000000001225
received Time: 902.5000000001367	 sent Time 840.3000000001225
received Time: 909.8000000001383	 sent Time 840.3000000001225
received Time: 1305.2999999999083	 sent Time 840.3000000001225
received Time: 841.0000000001227	 sent Time 840.3000000001225
received Time: 869.2000000001291	 sent Time 840.3000000001225
received Time: 902.3000000001366	 sent Time 840.3000000001225
received Time: 1062.600000000129	 sent Time 840.3000000001225
received Time: 1090.4000000001038	 sent Time 840.3000000001225
received Time: 1580.6999999996578	 sent Time 840.3000000001225
received Time: 1307.4999999999063	 sent Time 840.3000000001225
received Time: 863.5000000001278	 sent Time 840.3000000001225
received Time: 1419.5999999998044	 sent Time 840.3000000001225
received Time: 1158.400000000042	 sent Time 1080.4000000001129
received Time: 1868.0999999993965	 sent Time 1080.4000000001129
received Time: 1132.8000000000652	 sent Time 1080.4000000001129
received Time: 1080.9000000001124	 sent Time 1080.4000000001129
received Time: 1092.0000000001023	 sent Time 1080.4000000001129
received Time: 1580.599999999658	 sent Time 1080.4000000001129
received Time: 1103.2000000000921	 sent Time 1080.4000000001129
received Time: 1149.60000000005	 sent Time 1080.4000000001129
received Time: 1373.899999999846	 sent Time 1080.4000000001129
received Time: 1081.1000000001122	 sent Time 1080.4000000001129
received Time: 1130.900000000067	 sent Time 1080.4000000001129
received Time: 1101.8000000000934	 sent Time 1080.4000000001129
received Time: 1423.9999999998004	 sent Time 1080.4000000001129
received Time: 1135.0000000000632	 sent Time 1080.4000000001129
received Time: 1115.2000000000812	 sent Time 1080.4000000001129
received Time: 1090.5000000001037	 sent Time 1080.4000000001129
received Time: 2201.2999999990934	 sent Time 1080.4000000001129
received Time: 2849.7999999985036	 sent Time 1080.4000000001129
received Time: 1425.1999999997993	 sent Time 1080.4000000001129
received Time: 1374.4999999998454	 sent Time 1080.4000000001129
received Time: 1210.999999999994	 sent Time 1080.4000000001129
received Time: 1130.7000000000671	 sent Time 1080.4000000001129
received Time: 1304.2999999999092	 sent Time 1080.4000000001129
received Time: 2033.8999999992457	 sent Time 1080.4000000001129
received Time: 1210.8999999999942	 sent Time 1080.4000000001129
received Time: 1988.499999999287	 sent Time 1080.4000000001129
received Time: 1151.0000000000487	 sent Time 1080.4000000001129
received Time: 1150.9000000000487	 sent Time 1080.4000000001129
received Time: 1081.2000000001121	 sent Time 1080.4000000001129
received Time: 1303.7999999999097	 sent Time 1080.4000000001129
received Time: 1136.400000000062	 sent Time 1080.4000000001129
received Time: 1149.8000000000497	 sent Time 1080.4000000001129
received Time: 1131.0000000000668	 sent Time 1080.4000000001129
received Time: 1304.8999999999087	 sent Time 1080.4000000001129
received Time: 1304.9999999999086	 sent Time 1080.4000000001129
received Time: 1307.3999999999064	 sent Time 1080.4000000001129
received Time: 1304.7999999999088	 sent Time 1080.4000000001129
received Time: 1103.0000000000923	 sent Time 1080.4000000001129
received Time: 1149.7000000000498	 sent Time 1080.4000000001129
received Time: 1160.3000000000402	 sent Time 1080.4000000001129
received Time: 2445.999999998871	 sent Time 1080.4000000001129
received Time: 1081.0000000001123	 sent Time 1080.4000000001129
received Time: 1305.1999999999084	 sent Time 1080.4000000001129
received Time: 1304.499999999909	 sent Time 1080.4000000001129
received Time: 1869.2999999993954	 sent Time 1080.4000000001129
received Time: 1304.0999999999094	 sent Time 1080.4000000001129
received Time: 1601.6999999996387	 sent Time 1080.4000000001129
received Time: 1103.1000000000922	 sent Time 1080.4000000001129
received Time: 1303.6999999999098	 sent Time 1080.4000000001129
received Time: 1101.4000000000938	 sent Time 1080.4000000001129
received Time: 1108.0000000000878	 sent Time 1080.4000000001129
received Time: 1118.0000000000787	 sent Time 1080.4000000001129
received Time: 1636.699999999607	 sent Time 1080.4000000001129
received Time: 1145.4000000000538	 sent Time 1080.4000000001129
received Time: 1580.8999999996577	 sent Time 1080.4000000001129
received Time: 1306.799999999907	 sent Time 1080.4000000001129
received Time: 1130.6000000000672	 sent Time 1080.4000000001129
received Time: 1596.2999999996437	 sent Time 1260.699999999949
received Time: 1596.1999999996438	 sent Time 1260.699999999949
received Time: 1280.8999999999305	 sent Time 1260.699999999949
received Time: 1868.2999999993963	 sent Time 1260.699999999949
received Time: 1290.199999999922	 sent Time 1260.699999999949
received Time: 1285.899999999926	 sent Time 1260.699999999949
received Time: 1277.7999999999333	 sent Time 1260.699999999949
received Time: 1269.1999999999412	 sent Time 1260.699999999949
received Time: 1419.4999999998045	 sent Time 1260.699999999949
received Time: 1374.3999999998455	 sent Time 1260.699999999949
received Time: 1260.9999999999486	 sent Time 1260.699999999949
received Time: 1290.4999999999218	 sent Time 1260.699999999949
received Time: 1274.899999999936	 sent Time 1260.699999999949
received Time: 1292.0999999999203	 sent Time 1260.699999999949
received Time: 1277.6999999999334	 sent Time 1260.699999999949
received Time: 1306.4999999999072	 sent Time 1260.699999999949
received Time: 1373.4999999998463	 sent Time 1260.699999999949
received Time: 1764.4999999994907	 sent Time 1260.699999999949
received Time: 1602.1999999996383	 sent Time 1260.699999999949
received Time: 1269.299999999941	 sent Time 1260.699999999949
received Time: 1310.1999999999039	 sent Time 1260.699999999949
received Time: 2033.499999999246	 sent Time 1260.699999999949
received Time: 1881.699999999384	 sent Time 1260.699999999949
received Time: 1268.6999999999416	 sent Time 1260.699999999949
received Time: 1372.2999999998474	 sent Time 1260.699999999949
received Time: 1387.7999999998333	 sent Time 1260.699999999949
received Time: 1281.6999999999298	 sent Time 1260.699999999949
received Time: 1387.8999999998332	 sent Time 1260.699999999949
received Time: 1422.5999999998016	 sent Time 1260.699999999949
received Time: 1372.4999999998472	 sent Time 1260.699999999949
received Time: 1372.5999999998471	 sent Time 1260.699999999949
received Time: 1301.4999999999118	 sent Time 1260.699999999949
received Time: 1374.0999999998457	 sent Time 1260.699999999949
received Time: 1310.3999999999037	 sent Time 1260.699999999949
received Time: 1374.5999999998453	 sent Time 1260.699999999949
received Time: 1316.7999999998979	 sent Time 1260.699999999949
received Time: 1263.3999999999464	 sent Time 1260.699999999949
received Time: 1393.7999999998278	 sent Time 1260.699999999949
received Time: 1276.2999999999347	 sent Time 1260.699999999949
received Time: 1306.2999999999074	 sent Time 1260.699999999949
received Time: 1310.4999999999036	 sent Time 1260.699999999949
received Time: 1310.5999999999035	 sent Time 1260.699999999949
received Time: 1636.0999999996075	 sent Time 1260.699999999949
received Time: 1373.5999999998462	 sent Time 1260.699999999949
received Time: 1272.699999999938	 sent Time 1260.699999999949
received Time: 1373.9999999998458	 sent Time 1260.699999999949
received Time: 1292.49999999992	 sent Time 1260.699999999949
received Time: 1261.2999999999483	 sent Time 1260.699999999949
received Time: 1290.5999999999217	 sent Time 1260.699999999949
received Time: 1388.6999999998325	 sent Time 1260.699999999949
received Time: 1973.3999999993007	 sent Time 1260.699999999949
received Time: 1373.2999999998465	 sent Time 1260.699999999949
received Time: 1289.9999999999222	 sent Time 1260.699999999949
received Time: 1419.899999999804	 sent Time 1260.699999999949
received Time: 1596.3999999996436	 sent Time 1440.999999999785
received Time: 1598.5999999996416	 sent Time 1440.999999999785
received Time: 1454.8999999997723	 sent Time 1440.999999999785
received Time: 1764.7999999994904	 sent Time 1440.999999999785
received Time: 1500.199999999731	 sent Time 1440.999999999785
received Time: 2302.2999999990016	 sent Time 1440.999999999785
received Time: 1602.399999999638	 sent Time 1440.999999999785
received Time: 2201.4999999990932	 sent Time 1440.999999999785
received Time: 1441.6999999997843	 sent Time 1440.999999999785
received Time: 1635.9999999996076	 sent Time 1440.999999999785
received Time: 1451.4999999997754	 sent Time 1440.999999999785
received Time: 1473.1999999997556	 sent Time 1440.999999999785
received Time: 1499.9999999997312	 sent Time 1440.999999999785
received Time: 1602.2999999996382	 sent Time 1440.999999999785
received Time: 1466.9999999997613	 sent Time 1440.999999999785
received Time: 1464.8999999997632	 sent Time 1440.999999999785
received Time: 1500.7999999997305	 sent Time 1440.999999999785
received Time: 1764.8999999994903	 sent Time 1440.999999999785
received Time: 1714.7999999995359	 sent Time 1440.999999999785
received Time: 1637.599999999606	 sent Time 1440.999999999785
received Time: 1637.699999999606	 sent Time 1440.999999999785
received Time: 2879.199999998477	 sent Time 1440.999999999785
received Time: 1988.6999999992868	 sent Time 1440.999999999785
received Time: 1908.3999999993598	 sent Time 1440.999999999785
received Time: 1637.2999999996064	 sent Time 1440.999999999785
received Time: 1988.7999999992867	 sent Time 1440.999999999785
received Time: 2407.7999999989056	 sent Time 1440.999999999785
received Time: 1636.3999999996072	 sent Time 1440.999999999785
received Time: 1635.8999999996076	 sent Time 1440.999999999785
received Time: 1601.8999999996386	 sent Time 1440.999999999785
received Time: 1674.7999999995723	 sent Time 1440.999999999785
received Time: 1636.7999999996068	 sent Time 1440.999999999785
received Time: 1636.1999999996074	 sent Time 1440.999999999785
received Time: 1763.6999999994914	 sent Time 1440.999999999785
received Time: 2300.699999999003	 sent Time 1440.999999999785
received Time: 1636.8999999996067	 sent Time 1440.999999999785
received Time: 1637.3999999996063	 sent Time 1440.999999999785
received Time: 1441.2999999997846	 sent Time 1440.999999999785
received Time: 1451.3999999997754	 sent Time 1440.999999999785
received Time: 1456.399999999771	 sent Time 1440.999999999785
received Time: 1465.9999999997622	 sent Time 1440.999999999785
received Time: 2041.199999999239	 sent Time 1440.999999999785
received Time: 2445.4999999988713	 sent Time 1440.999999999785
received Time: 1596.0999999996438	 sent Time 1440.999999999785
received Time: 1472.2999999997564	 sent Time 1440.999999999785
received Time: 1637.4999999996062	 sent Time 1440.999999999785
received Time: 1635.6999999996078	 sent Time 1440.999999999785
received Time: 1989.0999999992864	 sent Time 1440.999999999785
received Time: 1601.9999999996385	 sent Time 1440.999999999785
received Time: 1457.9999999997694	 sent Time 1440.999999999785
received Time: 1598.4999999996417	 sent Time 1440.999999999785
received Time: 1601.5999999996388	 sent Time 1440.999999999785
received Time: 1441.5999999997844	 sent Time 1440.999999999785
received Time: 2301.4999999990023	 sent Time 1440.999999999785
received Time: 1636.9999999996066	 sent Time 1440.999999999785
received Time: 1637.1999999996065	 sent Time 1440.999999999785
received Time: 1580.499999999658	 sent Time 1440.999999999785
received Time: 1971.1999999993027	 sent Time 1440.999999999785
received Time: 1453.099999999774	 sent Time 1440.999999999785
received Time: 1637.799999999606	 sent Time 1440.999999999785
received Time: 1663.999999999582	 sent Time 1621.299999999621
received Time: 1664.5999999995815	 sent Time 1621.299999999621
received Time: 1674.4999999995725	 sent Time 1621.299999999621
received Time: 1763.7999999994913	 sent Time 1621.299999999621
received Time: 1668.7999999995777	 sent Time 1621.299999999621
received Time: 1763.8999999994912	 sent Time 1621.299999999621
received Time: 1621.6999999996206	 sent Time 1621.299999999621
received Time: 1679.0999999995684	 sent Time 1621.299999999621
received Time: 2033.9999999992456	 sent Time 1621.299999999621
received Time: 1642.7999999996014	 sent Time 1621.299999999621
received Time: 2445.799999998871	 sent Time 1621.299999999621
received Time: 1642.8999999996013	 sent Time 1621.299999999621
received Time: 1764.5999999994906	 sent Time 1621.299999999621
received Time: 1674.6999999995724	 sent Time 1621.299999999621
received Time: 1665.199999999581	 sent Time 1621.299999999621
received Time: 2200.2999999990943	 sent Time 1621.299999999621
received Time: 1660.3999999995854	 sent Time 1621.299999999621
received Time: 3052.4999999983193	 sent Time 1621.299999999621
received Time: 1764.099999999491	 sent Time 1621.299999999621
received Time: 1721.9999999995293	 sent Time 1621.299999999621
received Time: 1675.5999999995715	 sent Time 1621.299999999621
received Time: 1685.999999999562	 sent Time 1621.299999999621
received Time: 1684.6999999995633	 sent Time 1621.299999999621
received Time: 1714.8999999995358	 sent Time 1621.299999999621
received Time: 1660.1999999995855	 sent Time 1621.299999999621
received Time: 1973.7999999993003	 sent Time 1621.299999999621
received Time: 1687.5999999995606	 sent Time 1621.299999999621
received Time: 1676.9999999995703	 sent Time 1621.299999999621
received Time: 1683.999999999564	 sent Time 1621.299999999621
received Time: 1764.2999999994909	 sent Time 1621.299999999621
received Time: 1678.9999999995684	 sent Time 1621.299999999621
received Time: 1703.799999999546	 sent Time 1621.299999999621
received Time: 1675.8999999995713	 sent Time 1621.299999999621
received Time: 1642.6999999996015	 sent Time 1621.299999999621
received Time: 1621.9999999996203	 sent Time 1621.299999999621
received Time: 1657.6999999995878	 sent Time 1621.299999999621
received Time: 1643.099999999601	 sent Time 1621.299999999621
received Time: 2040.9999999992392	 sent Time 1621.299999999621
received Time: 1868.499999999396	 sent Time 1621.299999999621
received Time: 1657.7999999995877	 sent Time 1621.299999999621
received Time: 1688.0999999995602	 sent Time 1621.299999999621
received Time: 1675.4999999995716	 sent Time 1621.299999999621
received Time: 1655.0999999995902	 sent Time 1621.299999999621
received Time: 1643.199999999601	 sent Time 1621.299999999621
received Time: 1664.099999999582	 sent Time 1621.299999999621
received Time: 1763.9999999994911	 sent Time 1621.299999999621
received Time: 1621.7999999996205	 sent Time 1621.299999999621
received Time: 1675.6999999995714	 sent Time 1621.299999999621
received Time: 1722.0999999995292	 sent Time 1621.299999999621
received Time: 1642.9999999996012	 sent Time 1621.299999999621
received Time: 1674.3999999995726	 sent Time 1621.299999999621
received Time: 2436.2999999988797	 sent Time 1621.299999999621
received Time: 1675.9999999995712	 sent Time 1621.299999999621
received Time: 1790.2999999994672	 sent Time 1741.4999999995116
received Time: 1774.9999999994811	 sent Time 1741.4999999995116
received Time: 1888.6999999993777	 sent Time 1741.4999999995116
received Time: 1790.599999999467	 sent Time 1741.4999999995116
received Time: 1765.6999999994896	 sent Time 1741.4999999995116
received Time: 2302.0999999990017	 sent Time 1741.4999999995116
received Time: 1778.7999999994777	 sent Time 1741.4999999995116
received Time: 1790.499999999467	 sent Time 1741.4999999995116
received Time: 2030.8999999992484	 sent Time 1741.4999999995116
received Time: 1765.9999999994893	 sent Time 1741.4999999995116
received Time: 1766.1999999994891	 sent Time 1741.4999999995116
received Time: 1785.4999999994716	 sent Time 1741.4999999995116
received Time: 1775.099999999481	 sent Time 1741.4999999995116
received Time: 1745.2999999995081	 sent Time 1741.4999999995116
received Time: 1785.5999999994715	 sent Time 1741.4999999995116
received Time: 1883.999999999382	 sent Time 1741.4999999995116
received Time: 2834.199999998518	 sent Time 1741.4999999995116
received Time: 1908.19999999936	 sent Time 1741.4999999995116
received Time: 1790.1999999994673	 sent Time 1741.4999999995116
received Time: 1988.1999999992872	 sent Time 1741.4999999995116
received Time: 1973.9999999993001	 sent Time 1741.4999999995116
received Time: 1790.0999999994674	 sent Time 1741.4999999995116
received Time: 1834.7999999994267	 sent Time 1741.4999999995116
received Time: 1888.399999999378	 sent Time 1741.4999999995116
received Time: 1790.6999999994669	 sent Time 1741.4999999995116
received Time: 1790.3999999994671	 sent Time 1741.4999999995116
received Time: 1793.6999999994641	 sent Time 1741.4999999995116
received Time: 1789.8999999994676	 sent Time 1741.4999999995116
received Time: 1765.7999999994895	 sent Time 1741.4999999995116
received Time: 1741.6999999995114	 sent Time 1741.4999999995116
received Time: 1774.8999999994812	 sent Time 1741.4999999995116
received Time: 1764.199999999491	 sent Time 1741.4999999995116
received Time: 2465.8999999988528	 sent Time 1741.4999999995116
received Time: 1775.199999999481	 sent Time 1741.4999999995116
received Time: 1907.7999999993604	 sent Time 1741.4999999995116
received Time: 1778.8999999994776	 sent Time 1741.4999999995116
received Time: 1765.8999999994894	 sent Time 1741.4999999995116
received Time: 1758.2999999994963	 sent Time 1741.4999999995116
received Time: 1774.099999999482	 sent Time 1741.4999999995116
received Time: 1789.399999999468	 sent Time 1741.4999999995116
received Time: 1766.0999999994892	 sent Time 1741.4999999995116
received Time: 2301.899999999002	 sent Time 1741.4999999995116
received Time: 1789.7999999994677	 sent Time 1741.4999999995116
received Time: 2436.4999999988795	 sent Time 1741.4999999995116
received Time: 1869.1999999993955	 sent Time 1741.4999999995116
received Time: 1972.3999999993016	 sent Time 1741.4999999995116
received Time: 1777.6999999994787	 sent Time 1741.4999999995116
received Time: 2030.9999999992483	 sent Time 1861.6999999994023
received Time: 1862.1999999994018	 sent Time 1861.6999999994023
received Time: 1907.9999999993602	 sent Time 1861.6999999994023
received Time: 1973.4999999993006	 sent Time 1861.6999999994023
received Time: 1897.19999999937	 sent Time 1861.6999999994023
received Time: 1973.8999999993002	 sent Time 1861.6999999994023
received Time: 1873.3999999993916	 sent Time 1861.6999999994023
received Time: 2136.3999999991524	 sent Time 1861.6999999994023
received Time: 2033.599999999246	 sent Time 1861.6999999994023
received Time: 1902.3999999993653	 sent Time 1861.6999999994023
received Time: 2445.699999998871	 sent Time 1861.6999999994023
received Time: 1908.5999999993596	 sent Time 1861.6999999994023
received Time: 1900.9999999993665	 sent Time 1861.6999999994023
received Time: 2834.2999999985177	 sent Time 1861.6999999994023
received Time: 1989.2999999992862	 sent Time 1861.6999999994023
received Time: 2200.699999999094	 sent Time 1861.6999999994023
received Time: 3122.099999998256	 sent Time 1861.6999999994023
received Time: 1908.4999999993597	 sent Time 1861.6999999994023
received Time: 1973.6999999993004	 sent Time 1861.6999999994023
received Time: 1937.4999999993333	 sent Time 1861.6999999994023
received Time: 2041.0999999992391	 sent Time 1861.6999999994023
received Time: 2834.099999998518	 sent Time 1861.6999999994023
received Time: 2049.3999999992316	 sent Time 1861.6999999994023
received Time: 1964.5999999993087	 sent Time 1861.6999999994023
received Time: 1883.7999999993822	 sent Time 1861.6999999994023
received Time: 2136.4999999991524	 sent Time 1861.6999999994023
received Time: 2849.6999999985037	 sent Time 1861.6999999994023
received Time: 1975.0999999992991	 sent Time 1861.6999999994023
received Time: 1861.999999999402	 sent Time 1861.6999999994023
received Time: 1974.9999999992992	 sent Time 1861.6999999994023
received Time: 1937.5999999993332	 sent Time 1861.6999999994023
received Time: 2033.2999999992462	 sent Time 1861.6999999994023
received Time: 2033.3999999992461	 sent Time 1861.6999999994023
received Time: 1897.09999999937	 sent Time 1861.6999999994023
received Time: 1875.4999999993897	 sent Time 1861.6999999994023
received Time: 1869.799999999395	 sent Time 1861.6999999994023
received Time: 1883.899999999382	 sent Time 1861.6999999994023
received Time: 1893.899999999373	 sent Time 1861.6999999994023
received Time: 1890.1999999993764	 sent Time 1861.6999999994023
received Time: 1915.0999999993537	 sent Time 1861.6999999994023
received Time: 1897.29999999937	 sent Time 1861.6999999994023
received Time: 3021.4999999983474	 sent Time 1861.6999999994023
received Time: 2466.2999999988524	 sent Time 1861.6999999994023
received Time: 1988.2999999992871	 sent Time 1861.6999999994023
received Time: 1964.4999999993088	 sent Time 1861.6999999994023
received Time: 1910.6999999993577	 sent Time 1861.6999999994023
received Time: 2200.899999999094	 sent Time 1861.6999999994023
received Time: 1886.4999999993797	 sent Time 1861.6999999994023
received Time: 1900.499999999367	 sent Time 1861.6999999994023
received Time: 1988.399999999287	 sent Time 1861.6999999994023
received Time: 1983.1999999992918	 sent Time 1861.6999999994023
received Time: 1888.5999999993778	 sent Time 1861.6999999994023
received Time: 2302.3999999990015	 sent Time 1861.6999999994023
received Time: 1888.499999999378	 sent Time 1861.6999999994023
received Time: 1887.7999999993785	 sent Time 1861.6999999994023
received Time: 2036.0999999992437	 sent Time 1861.6999999994023
received Time: 1907.8999999993603	 sent Time 1861.6999999994023
received Time: 2040.7999999992394	 sent Time 1981.899999999293
received Time: 1982.7999999992921	 sent Time 1981.899999999293
received Time: 2445.599999998871	 sent Time 1981.899999999293
received Time: 2200.1999999990944	 sent Time 1981.899999999293
received Time: 2029.7999999992494	 sent Time 1981.899999999293
received Time: 2023.8999999992548	 sent Time 1981.899999999293
received Time: 2023.7999999992549	 sent Time 1981.899999999293
received Time: 2490.0999999988308	 sent Time 1981.899999999293
received Time: 2014.799999999263	 sent Time 1981.899999999293
received Time: 2136.699999999152	 sent Time 1981.899999999293
received Time: 2034.0999999992455	 sent Time 1981.899999999293
received Time: 2201.1999999990935	 sent Time 1981.899999999293
received Time: 2445.899999998871	 sent Time 1981.899999999293
received Time: 2301.0999999990026	 sent Time 1981.899999999293
received Time: 2023.9999999992547	 sent Time 1981.899999999293
received Time: 2023.3999999992552	 sent Time 1981.899999999293
received Time: 2020.399999999258	 sent Time 1981.899999999293
received Time: 2466.0999999988526	 sent Time 1981.899999999293
received Time: 2024.0999999992546	 sent Time 1981.899999999293
received Time: 2030.5999999992487	 sent Time 1981.899999999293
received Time: 2034.1999999992454	 sent Time 1981.899999999293
received Time: 2040.8999999992393	 sent Time 1981.899999999293
received Time: 2049.2999999992317	 sent Time 1981.899999999293
received Time: 2466.699999998852	 sent Time 1981.899999999293
received Time: 2030.6999999992486	 sent Time 1981.899999999293
received Time: 2136.5999999991523	 sent Time 1981.899999999293
received Time: 2030.199999999249	 sent Time 1981.899999999293
received Time: 1982.3999999992925	 sent Time 1981.899999999293
received Time: 2029.8999999992493	 sent Time 1981.899999999293
received Time: 2010.0999999992673	 sent Time 1981.899999999293
received Time: 2064.099999999218	 sent Time 1981.899999999293
received Time: 2064.199999999218	 sent Time 1981.899999999293
received Time: 1983.3999999992916	 sent Time 1981.899999999293
received Time: 2547.199999998779	 sent Time 1981.899999999293
received Time: 2019.4999999992588	 sent Time 1981.899999999293
received Time: 1982.5999999992923	 sent Time 1981.899999999293
received Time: 2019.3999999992589	 sent Time 1981.899999999293
received Time: 2201.0999999990936	 sent Time 1981.899999999293
received Time: 2016.5999999992614	 sent Time 1981.899999999293
received Time: 2466.799999998852	 sent Time 1981.899999999293
received Time: 2023.599999999255	 sent Time 1981.899999999293
received Time: 2060.899999999221	 sent Time 1981.899999999293
received Time: 3021.5999999983474	 sent Time 1981.899999999293
received Time: 2500.0999999988217	 sent Time 1981.899999999293
received Time: 2027.3999999992516	 sent Time 1981.899999999293
received Time: 3052.599999998319	 sent Time 1981.899999999293
received Time: 2201.3999999990933	 sent Time 1981.899999999293
received Time: 2024.699999999254	 sent Time 1981.899999999293
received Time: 2295.4999999990077	 sent Time 1981.899999999293
received Time: 1982.4999999992924	 sent Time 1981.899999999293
received Time: 2136.2999999991525	 sent Time 1981.899999999293
received Time: 2037.5999999992423	 sent Time 1981.899999999293
received Time: 2023.4999999992551	 sent Time 1981.899999999293
received Time: 2023.699999999255	 sent Time 1981.899999999293
received Time: 2019.5999999992587	 sent Time 1981.899999999293
received Time: 2295.6999999990076	 sent Time 1981.899999999293
received Time: 2300.799999999003	 sent Time 1981.899999999293
received Time: 3312.299999998083	 sent Time 1981.899999999293
received Time: 2436.3999999988796	 sent Time 1981.899999999293
received Time: 2466.899999998852	 sent Time 1981.899999999293
avgAoI: 256.4918088735837 | overhead: 1.1774744027303754 | validDeliveries: 586
34237.0 14400: 0.21 1/s
Simulation done in 34236.79s
---
All done in 34237.16s
