Run 1/1
Running simulation 'FL_A_Epidemic_100_RWP'
11309.5 4685: 0.31 1/s
11369.6 4708: 0.39 1/s
11429.7 4733: 0.41 1/s
11489.8 4757: 0.41 1/s
11550.1 4781: 0.40 1/s
11610.2 4804: 0.38 1/s
11670.4 4826: 0.36 1/s
11730.4 4847: 0.35 1/s
11790.6 4868: 0.35 1/s
11850.6 4889: 0.34 1/s
11910.9 4910: 0.35 1/s
11971.0 4931: 0.35 1/s
12031.1 4952: 0.34 1/s
12091.4 4973: 0.34 1/s
12151.5 4993: 0.34 1/s
12211.7 5011: 0.31 1/s
12271.8 5031: 0.32 1/s
12332.0 5050: 0.33 1/s
12392.3 5067: 0.28 1/s
12452.6 5084: 0.29 1/s
12512.7 5103: 0.32 1/s
12572.8 5123: 0.32 1/s
12633.0 5142: 0.32 1/s
12693.1 5161: 0.32 1/s
12753.1 5181: 0.32 1/s
12813.2 5202: 0.35 1/s
12873.4 5223: 0.35 1/s
12933.6 5246: 0.39 1/s
12993.8 5269: 0.38 1/s
13054.0 5288: 0.32 1/s
13114.2 5310: 0.37 1/s
13174.3 5331: 0.34 1/s
13234.3 5352: 0.36 1/s
13294.6 5373: 0.35 1/s
13354.9 5393: 0.33 1/s
13414.9 5413: 0.33 1/s
13475.0 5431: 0.31 1/s
13535.3 5451: 0.33 1/s
13595.5 5470: 0.32 1/s
13655.6 5488: 0.30 1/s
13715.7 5506: 0.29 1/s
13775.9 5523: 0.28 1/s
13836.3 5540: 0.28 1/s
13896.6 5557: 0.29 1/s
13956.7 5574: 0.29 1/s
14016.9 5594: 0.33 1/s
14077.0 5617: 0.38 1/s
14137.1 5640: 0.38 1/s
14197.1 5661: 0.36 1/s
14257.1 5683: 0.36 1/s
14317.4 5707: 0.39 1/s
14377.6 5729: 0.37 1/s
14437.7 5752: 0.38 1/s
14497.8 5774: 0.37 1/s
14557.9 5796: 0.37 1/s
14618.0 5818: 0.36 1/s
14678.2 5840: 0.36 1/s
14738.4 5862: 0.37 1/s
14798.5 5884: 0.37 1/s
14858.7 5908: 0.39 1/s
14918.8 5945: 0.61 1/s
14978.8 5981: 0.61 1/s
15038.9 6019: 0.63 1/s
15099.0 6060: 0.69 1/s
15159.1 6096: 0.59 1/s
15219.1 6128: 0.54 1/s
15279.2 6162: 0.55 1/s
15339.2 6204: 0.70 1/s
15399.4 6244: 0.66 1/s
15459.4 6283: 0.66 1/s
15519.5 6324: 0.67 1/s
15579.6 6362: 0.63 1/s
15639.6 6400: 0.65 1/s
15699.6 6438: 0.63 1/s
15759.6 6478: 0.67 1/s
15819.7 6520: 0.68 1/s
15879.7 6558: 0.65 1/s
15939.8 6598: 0.66 1/s
15999.9 6637: 0.66 1/s
16060.0 6674: 0.61 1/s
16120.2 6708: 0.56 1/s
16180.3 6741: 0.56 1/s
16240.4 6784: 0.71 1/s
16300.4 6828: 0.74 1/s
16360.4 6876: 0.80 1/s
16420.4 6921: 0.75 1/s
16480.5 6965: 0.72 1/s
16540.6 7008: 0.73 1/s
16600.7 7053: 0.74 1/s
16660.8 7101: 0.80 1/s
16720.9 7143: 0.71 1/s
16781.0 7181: 0.62 1/s
16841.0 7217: 0.61 1/s
16901.2 7256: 0.65 1/s
16961.3 7291: 0.58 1/s
17021.5 7325: 0.56 1/s
17081.6 7360: 0.58 1/s
17141.6 7405: 0.74 1/s
17201.7 7449: 0.73 1/s
17261.8 7494: 0.76 1/s
17321.9 7542: 0.80 1/s
17382.0 7585: 0.71 1/s
17442.1 7626: 0.69 1/s
17502.2 7671: 0.74 1/s
17562.3 7714: 0.73 1/s
17622.4 7758: 0.72 1/s
17682.5 7800: 0.70 1/s
17742.5 7841: 0.69 1/s
17802.6 7882: 0.67 1/s
17862.7 7920: 0.63 1/s
17922.7 7950: 0.50 1/s
17982.9 7980: 0.50 1/s
18043.1 8009: 0.49 1/s
18103.1 8035: 0.44 1/s
18163.4 8064: 0.47 1/s
18223.6 8091: 0.45 1/s
18283.8 8117: 0.44 1/s
18343.9 8145: 0.47 1/s
18404.0 8174: 0.47 1/s
18464.1 8201: 0.45 1/s
18524.1 8226: 0.42 1/s
18584.2 8251: 0.41 1/s
18644.2 8276: 0.42 1/s
18704.4 8301: 0.43 1/s
18764.5 8328: 0.44 1/s
18824.8 8354: 0.44 1/s
18884.9 8379: 0.41 1/s
18945.0 8402: 0.38 1/s
19005.1 8424: 0.37 1/s
19065.1 8446: 0.37 1/s
19125.2 8468: 0.37 1/s
19185.3 8490: 0.35 1/s
19245.4 8512: 0.37 1/s
19305.4 8535: 0.38 1/s
19365.7 8557: 0.37 1/s
19425.8 8579: 0.37 1/s
19485.9 8603: 0.39 1/s
19546.1 8626: 0.39 1/s
19606.2 8650: 0.39 1/s
19666.2 8674: 0.39 1/s
19726.3 8697: 0.39 1/s
19786.4 8721: 0.40 1/s
19846.5 8745: 0.41 1/s
19906.6 8771: 0.42 1/s
19966.9 8796: 0.43 1/s
20027.0 8823: 0.45 1/s
20087.1 8851: 0.45 1/s
20147.3 8878: 0.45 1/s
20207.3 8906: 0.48 1/s
20267.4 8935: 0.48 1/s
20327.6 8963: 0.47 1/s
20387.7 8991: 0.46 1/s
20447.8 9020: 0.47 1/s
20507.8 9048: 0.46 1/s
20568.0 9076: 0.47 1/s
20628.2 9104: 0.46 1/s
20688.2 9136: 0.54 1/s
20748.2 9170: 0.57 1/s
20808.4 9201: 0.51 1/s
20868.5 9225: 0.41 1/s
20928.6 9251: 0.43 1/s
20988.7 9286: 0.58 1/s
21048.8 9318: 0.53 1/s
21108.9 9349: 0.52 1/s
21169.0 9378: 0.48 1/s
21229.0 9407: 0.49 1/s
21289.2 9436: 0.48 1/s
21349.3 9465: 0.49 1/s
21409.3 9495: 0.50 1/s
21469.4 9524: 0.48 1/s
21529.5 9551: 0.46 1/s
21589.6 9577: 0.44 1/s
21649.6 9604: 0.44 1/s
21709.7 9629: 0.42 1/s
21769.8 9659: 0.49 1/s
21829.8 9689: 0.50 1/s
21890.0 9718: 0.49 1/s
21950.2 9739: 0.35 1/s
22010.4 9761: 0.37 1/s
22070.5 9789: 0.47 1/s
22130.5 9822: 0.54 1/s
22190.5 9855: 0.55 1/s
22250.6 9885: 0.50 1/s
22310.6 9913: 0.48 1/s
22370.7 9942: 0.48 1/s
22430.8 9970: 0.46 1/s
22490.9 9997: 0.45 1/s
22550.9 10023: 0.44 1/s
22611.1 10049: 0.43 1/s
22671.1 10075: 0.43 1/s
22731.1 10101: 0.42 1/s
22791.1 10126: 0.42 1/s
22851.2 10152: 0.43 1/s
22911.3 10180: 0.48 1/s
22971.5 10207: 0.44 1/s
23031.7 10235: 0.47 1/s
23091.9 10265: 0.51 1/s
23152.0 10297: 0.52 1/s
23212.1 10327: 0.51 1/s
23272.1 10357: 0.49 1/s
23332.3 10386: 0.49 1/s
23392.4 10416: 0.49 1/s
23452.5 10446: 0.51 1/s
23512.5 10478: 0.54 1/s
23572.6 10513: 0.58 1/s
23632.7 10547: 0.57 1/s
23692.9 10581: 0.56 1/s
23753.0 10615: 0.56 1/s
23813.1 10650: 0.59 1/s
23873.2 10684: 0.57 1/s
23933.4 10718: 0.56 1/s
23993.5 10754: 0.59 1/s
24053.5 10791: 0.61 1/s
24113.7 10820: 0.49 1/s
24173.8 10847: 0.45 1/s
24233.9 10877: 0.50 1/s
24294.0 10913: 0.61 1/s
24354.0 10951: 0.62 1/s
24414.2 10988: 0.63 1/s
24474.3 11026: 0.62 1/s
24534.3 11062: 0.61 1/s
24594.4 11098: 0.60 1/s
24654.5 11134: 0.59 1/s
24714.5 11169: 0.60 1/s
24774.5 11205: 0.59 1/s
24834.7 11241: 0.60 1/s
24894.7 11276: 0.58 1/s
24954.8 11308: 0.54 1/s
25015.0 11339: 0.51 1/s
25075.0 11370: 0.53 1/s
25135.2 11403: 0.54 1/s
25195.2 11437: 0.56 1/s
25255.4 11470: 0.56 1/s
25315.4 11500: 0.49 1/s
25375.6 11533: 0.56 1/s
25435.7 11569: 0.58 1/s
25495.8 11605: 0.61 1/s
25555.9 11645: 0.65 1/s
25615.9 11683: 0.64 1/s
25675.9 11715: 0.54 1/s
25736.0 11744: 0.48 1/s
25796.2 11776: 0.52 1/s
25856.2 11807: 0.53 1/s
25916.2 11841: 0.57 1/s
25976.3 11877: 0.60 1/s
26036.3 11916: 0.64 1/s
26096.5 11954: 0.63 1/s
26156.5 11988: 0.57 1/s
26216.6 12022: 0.58 1/s
26276.6 12055: 0.54 1/s
26336.7 12086: 0.52 1/s
26396.7 12118: 0.54 1/s
26456.8 12151: 0.55 1/s
26517.0 12186: 0.58 1/s
26577.0 12219: 0.55 1/s
26637.0 12253: 0.57 1/s
26697.1 12291: 0.62 1/s
26757.3 12329: 0.64 1/s
26817.3 12368: 0.64 1/s
26877.4 12406: 0.64 1/s
26937.5 12445: 0.65 1/s
26997.6 12484: 0.64 1/s
27057.7 12521: 0.62 1/s
27117.8 12558: 0.62 1/s
27177.8 12597: 0.64 1/s
27237.9 12631: 0.58 1/s
27298.1 12664: 0.54 1/s
27358.2 12696: 0.52 1/s
27418.3 12728: 0.53 1/s
27478.3 12761: 0.56 1/s
27538.5 12794: 0.54 1/s
27598.6 12824: 0.50 1/s
27658.7 12856: 0.53 1/s
27718.8 12891: 0.59 1/s
27778.8 12928: 0.62 1/s
27839.0 12965: 0.61 1/s
27899.0 12999: 0.57 1/s
27959.2 13023: 0.40 1/s
28019.5 13033: 0.15 1/s
28079.7 13041: 0.14 1/s
28140.4 13050: 0.15 1/s
28200.6 13058: 0.13 1/s
28261.2 13066: 0.13 1/s
28321.3 13075: 0.15 1/s
28381.4 13088: 0.22 1/s
28441.5 13101: 0.22 1/s
28501.8 13114: 0.21 1/s
28561.9 13128: 0.23 1/s
28622.2 13142: 0.23 1/s
28682.3 13155: 0.23 1/s
28742.6 13168: 0.21 1/s
28802.8 13181: 0.21 1/s
28863.1 13194: 0.21 1/s
28923.5 13207: 0.21 1/s
28983.6 13220: 0.21 1/s
29043.8 13233: 0.22 1/s
29104.2 13246: 0.23 1/s
29164.3 13261: 0.24 1/s
29224.4 13275: 0.24 1/s
29284.6 13290: 0.25 1/s
29344.8 13305: 0.25 1/s
29404.8 13321: 0.26 1/s
29465.0 13336: 0.26 1/s
29525.2 13352: 0.26 1/s
29585.5 13368: 0.26 1/s
29645.6 13384: 0.26 1/s
29705.9 13399: 0.26 1/s
29766.3 13414: 0.25 1/s
29826.5 13429: 0.24 1/s
29886.7 13443: 0.24 1/s
29946.7 13457: 0.23 1/s
30007.0 13471: 0.24 1/s
30067.0 13485: 0.23 1/s
30127.2 13500: 0.24 1/s
30187.4 13514: 0.24 1/s
30247.7 13529: 0.24 1/s
30307.9 13543: 0.25 1/s
30367.9 13558: 0.24 1/s
30428.2 13573: 0.25 1/s
30488.4 13588: 0.25 1/s
30548.6 13603: 0.25 1/s
30608.8 13618: 0.25 1/s
30668.9 13632: 0.24 1/s
30729.1 13647: 0.25 1/s
30789.3 13662: 0.25 1/s
30849.3 13677: 0.24 1/s
30909.7 13691: 0.23 1/s
30969.7 13704: 0.22 1/s
31029.9 13717: 0.22 1/s
31090.1 13731: 0.22 1/s
31150.2 13744: 0.22 1/s
31210.3 13757: 0.22 1/s
31270.5 13770: 0.22 1/s
31330.6 13784: 0.22 1/s
31390.9 13797: 0.22 1/s
31451.1 13810: 0.22 1/s
31511.4 13824: 0.23 1/s
31571.5 13838: 0.24 1/s
31631.8 13853: 0.24 1/s
31692.1 13867: 0.24 1/s
31752.4 13881: 0.23 1/s
31812.5 13895: 0.23 1/s
31872.5 13909: 0.23 1/s
31932.7 13923: 0.23 1/s
31992.8 13937: 0.23 1/s
32053.2 13950: 0.22 1/s
32113.4 13963: 0.22 1/s
32173.5 13976: 0.21 1/s
32233.5 13989: 0.22 1/s
32293.7 14002: 0.22 1/s
32353.8 14015: 0.22 1/s
32414.1 14028: 0.21 1/s
32474.4 14040: 0.20 1/s
32534.5 14052: 0.20 1/s
32594.6 14064: 0.20 1/s
32654.6 14076: 0.20 1/s
32714.8 14088: 0.19 1/s
32774.8 14099: 0.19 1/s
32835.1 14110: 0.19 1/s
32895.4 14122: 0.19 1/s
32955.8 14134: 0.20 1/s
33015.9 14147: 0.21 1/s
33076.0 14159: 0.20 1/s
33136.2 14171: 0.21 1/s
33196.7 14184: 0.20 1/s
33256.8 14196: 0.21 1/s
33317.3 14209: 0.21 1/s
33377.5 14221: 0.20 1/s
33437.9 14234: 0.21 1/s
33498.2 14246: 0.20 1/s
33558.3 14258: 0.21 1/s
33618.7 14271: 0.21 1/s
33678.8 14283: 0.21 1/s
33739.1 14296: 0.21 1/s
33799.1 14309: 0.21 1/s
33859.5 14322: 0.22 1/s
33919.6 14335: 0.21 1/s
33979.8 14347: 0.20 1/s
34040.2 14360: 0.21 1/s
34100.7 14372: 0.21 1/s
34160.9 14384: 0.20 1/s
34221.1 14397: 0.20 1/s
Unique content gateway: 586 :: total unique content cache: 1
received Time: 427.4000000000287	 sent Time 60.00000000000058
received Time: 275.89999999999424	 sent Time 60.00000000000058
received Time: 831.7000000001206	 sent Time 60.00000000000058
received Time: 88.49999999999925	 sent Time 60.00000000000058
received Time: 87.39999999999931	 sent Time 60.00000000000058
received Time: 626.2000000000738	 sent Time 60.00000000000058
received Time: 427.30000000002866	 sent Time 60.00000000000058
received Time: 628.7000000000744	 sent Time 60.00000000000058
received Time: 427.5000000000287	 sent Time 60.00000000000058
received Time: 629.4000000000746	 sent Time 60.00000000000058
received Time: 427.8000000000288	 sent Time 60.00000000000058
received Time: 427.20000000002864	 sent Time 60.00000000000058
received Time: 545.0000000000554	 sent Time 60.00000000000058
received Time: 103.4999999999984	 sent Time 60.00000000000058
received Time: 103.19999999999841	 sent Time 60.00000000000058
received Time: 542.6000000000548	 sent Time 60.00000000000058
received Time: 914.9000000001395	 sent Time 60.00000000000058
received Time: 627.200000000074	 sent Time 60.00000000000058
received Time: 544.2000000000552	 sent Time 60.00000000000058
received Time: 543.200000000055	 sent Time 60.00000000000058
received Time: 267.7999999999924	 sent Time 60.00000000000058
received Time: 109.09999999999808	 sent Time 60.00000000000058
received Time: 627.4000000000741	 sent Time 60.00000000000058
received Time: 106.9999999999982	 sent Time 60.00000000000058
received Time: 60.200000000000585	 sent Time 60.00000000000058
received Time: 544.3000000000552	 sent Time 60.00000000000058
received Time: 830.7000000001203	 sent Time 60.00000000000058
received Time: 427.70000000002875	 sent Time 60.00000000000058
received Time: 629.6000000000746	 sent Time 60.00000000000058
received Time: 548.5000000000562	 sent Time 60.00000000000058
received Time: 87.29999999999932	 sent Time 60.00000000000058
received Time: 543.8000000000551	 sent Time 60.00000000000058
received Time: 103.09999999999842	 sent Time 60.00000000000058
received Time: 103.2999999999984	 sent Time 60.00000000000058
received Time: 626.900000000074	 sent Time 60.00000000000058
received Time: 427.60000000002873	 sent Time 60.00000000000058
received Time: 547.4000000000559	 sent Time 60.00000000000058
received Time: 101.6999999999985	 sent Time 60.00000000000058
received Time: 629.1000000000745	 sent Time 60.00000000000058
received Time: 1027.9000000001606	 sent Time 60.00000000000058
received Time: 542.0000000000547	 sent Time 60.00000000000058
received Time: 1306.0999999999076	 sent Time 60.00000000000058
received Time: 831.2000000001204	 sent Time 60.00000000000058
received Time: 1303.5999999999099	 sent Time 60.00000000000058
received Time: 1028.0000000001605	 sent Time 60.00000000000058
received Time: 542.4000000000548	 sent Time 60.00000000000058
received Time: 87.4999999999993	 sent Time 60.00000000000058
received Time: 549.0000000000563	 sent Time 60.00000000000058
received Time: 630.5000000000748	 sent Time 60.00000000000058
received Time: 87.5999999999993	 sent Time 60.00000000000058
received Time: 545.3000000000554	 sent Time 60.00000000000058
received Time: 629.7000000000746	 sent Time 60.00000000000058
received Time: 544.1000000000552	 sent Time 60.00000000000058
received Time: 630.8000000000749	 sent Time 60.00000000000058
received Time: 1038.7000000001508	 sent Time 60.00000000000058
received Time: 627.000000000074	 sent Time 60.00000000000058
received Time: 277.8999999999947	 sent Time 60.00000000000058
received Time: 545.7000000000555	 sent Time 60.00000000000058
received Time: 265.5999999999919	 sent Time 60.00000000000058
received Time: 95.69999999999884	 sent Time 60.00000000000058
received Time: 542.9000000000549	 sent Time 60.00000000000058
received Time: 628.5000000000744	 sent Time 60.00000000000058
received Time: 542.2000000000547	 sent Time 60.00000000000058
received Time: 630.7000000000749	 sent Time 60.00000000000058
received Time: 544.6000000000553	 sent Time 60.00000000000058
received Time: 87.19999999999932	 sent Time 60.00000000000058
received Time: 1306.5999999999071	 sent Time 60.00000000000058
received Time: 107.89999999999814	 sent Time 60.00000000000058
received Time: 103.3999999999984	 sent Time 60.00000000000058
received Time: 702.9000000000913	 sent Time 600.3000000000679
received Time: 1305.4999999999081	 sent Time 600.3000000000679
received Time: 830.5000000001203	 sent Time 600.3000000000679
received Time: 711.3000000000932	 sent Time 600.3000000000679
received Time: 1038.500000000151	 sent Time 600.3000000000679
received Time: 667.3000000000832	 sent Time 600.3000000000679
received Time: 737.9000000000992	 sent Time 600.3000000000679
received Time: 644.8000000000781	 sent Time 600.3000000000679
received Time: 1868.3999999993962	 sent Time 600.3000000000679
received Time: 671.100000000084	 sent Time 600.3000000000679
received Time: 630.6000000000748	 sent Time 600.3000000000679
received Time: 673.3000000000845	 sent Time 600.3000000000679
received Time: 662.300000000082	 sent Time 600.3000000000679
received Time: 715.100000000094	 sent Time 600.3000000000679
received Time: 837.6000000001219	 sent Time 600.3000000000679
received Time: 660.3000000000816	 sent Time 600.3000000000679
received Time: 660.2000000000816	 sent Time 600.3000000000679
received Time: 670.3000000000839	 sent Time 600.3000000000679
received Time: 703.3000000000914	 sent Time 600.3000000000679
received Time: 654.9000000000804	 sent Time 600.3000000000679
received Time: 1307.1999999999066	 sent Time 600.3000000000679
received Time: 654.8000000000803	 sent Time 600.3000000000679
received Time: 767.0000000001058	 sent Time 600.3000000000679
received Time: 1027.500000000161	 sent Time 600.3000000000679
received Time: 1304.599999999909	 sent Time 600.3000000000679
received Time: 1306.8999999999069	 sent Time 600.3000000000679
received Time: 1158.5000000000418	 sent Time 600.3000000000679
received Time: 674.2000000000847	 sent Time 600.3000000000679
received Time: 670.2000000000838	 sent Time 600.3000000000679
received Time: 667.5000000000832	 sent Time 600.3000000000679
received Time: 1039.3000000001502	 sent Time 600.3000000000679
received Time: 738.7000000000994	 sent Time 600.3000000000679
received Time: 715.000000000094	 sent Time 600.3000000000679
received Time: 1422.6999999998015	 sent Time 600.3000000000679
received Time: 673.2000000000845	 sent Time 600.3000000000679
received Time: 1039.8000000001498	 sent Time 600.3000000000679
received Time: 673.4000000000846	 sent Time 600.3000000000679
received Time: 1304.1999999999093	 sent Time 600.3000000000679
received Time: 831.1000000001204	 sent Time 600.3000000000679
received Time: 1307.2999999999065	 sent Time 600.3000000000679
received Time: 1303.39999999991	 sent Time 600.3000000000679
received Time: 660.4000000000816	 sent Time 600.3000000000679
received Time: 1039.1000000001504	 sent Time 600.3000000000679
