received Time: 1272.8999999999378	 sent Time 1080.4000000001129
received Time: 1469.2999999997592	 sent Time 1080.4000000001129
received Time: 1369.9999999998495	 sent Time 1080.4000000001129
received Time: 1278.5999999999326	 sent Time 1080.4000000001129
received Time: 1278.3999999999328	 sent Time 1080.4000000001129
received Time: 2080.899999999203	 sent Time 1080.4000000001129
received Time: 1981.2999999992935	 sent Time 1080.4000000001129
received Time: 1273.4999999999372	 sent Time 1080.4000000001129
received Time: 1314.8999999998996	 sent Time 1080.4000000001129
received Time: 2081.1999999992026	 sent Time 1080.4000000001129
received Time: 1770.3999999994853	 sent Time 1080.4000000001129
received Time: 1273.2999999999374	 sent Time 1080.4000000001129
received Time: 1273.3999999999373	 sent Time 1080.4000000001129
received Time: 1809.29999999945	 sent Time 1080.4000000001129
received Time: 1273.0999999999376	 sent Time 1080.4000000001129
received Time: 1080.7000000001126	 sent Time 1080.4000000001129
received Time: 1582.1999999996565	 sent Time 1080.4000000001129
received Time: 1080.8000000001125	 sent Time 1080.4000000001129
received Time: 2223.799999999073	 sent Time 1380.8999999998396
received Time: 1770.699999999485	 sent Time 1380.8999999998396
received Time: 1381.499999999839	 sent Time 1380.8999999998396
received Time: 1642.8999999996013	 sent Time 1380.8999999998396
received Time: 1468.7999999997596	 sent Time 1380.8999999998396
received Time: 2223.2999999990734	 sent Time 1380.8999999998396
received Time: 1381.8999999998387	 sent Time 1380.8999999998396
received Time: 1510.099999999722	 sent Time 1380.8999999998396
received Time: 2409.0999999989044	 sent Time 1380.8999999998396
received Time: 2080.999999999203	 sent Time 1380.8999999998396
received Time: 1469.499999999759	 sent Time 1380.8999999998396
received Time: 2223.9999999990728	 sent Time 1380.8999999998396
received Time: 1468.8999999997595	 sent Time 1380.8999999998396
received Time: 1381.599999999839	 sent Time 1380.8999999998396
received Time: 1395.899999999826	 sent Time 1380.8999999998396
received Time: 1981.3999999992934	 sent Time 1380.8999999998396
received Time: 1469.1999999997593	 sent Time 1380.8999999998396
received Time: 1642.7999999996014	 sent Time 1380.8999999998396
received Time: 1839.999999999422	 sent Time 1380.8999999998396
received Time: 1809.0999999994501	 sent Time 1380.8999999998396
received Time: 1809.3999999994498	 sent Time 1380.8999999998396
received Time: 2918.9999999984407	 sent Time 1380.8999999998396
received Time: 2408.599999998905	 sent Time 1380.8999999998396
received Time: 1582.2999999996564	 sent Time 1380.8999999998396
received Time: 1381.399999999839	 sent Time 1380.8999999998396
received Time: 2916.0999999984433	 sent Time 1681.3999999995663
received Time: 2916.499999998443	 sent Time 1681.3999999995663
received Time: 1702.3999999995472	 sent Time 1681.3999999995663
received Time: 1702.499999999547	 sent Time 1681.3999999995663
received Time: 2223.599999999073	 sent Time 1681.3999999995663
received Time: 2223.1999999990735	 sent Time 1681.3999999995663
received Time: 2080.4999999992033	 sent Time 1681.3999999995663
received Time: 1681.799999999566	 sent Time 1681.3999999995663
received Time: 1732.6999999995196	 sent Time 1681.3999999995663
received Time: 2481.099999998839	 sent Time 1681.3999999995663
received Time: 1737.2999999995154	 sent Time 1681.3999999995663
received Time: 1681.699999999566	 sent Time 1681.3999999995663
received Time: 2481.2999999988388	 sent Time 1681.3999999995663
received Time: 1737.1999999995155	 sent Time 1681.3999999995663
received Time: 1821.7999999994386	 sent Time 1681.3999999995663
received Time: 2080.799999999203	 sent Time 1681.3999999995663
received Time: 1740.0999999995129	 sent Time 1681.3999999995663
received Time: 1839.899999999422	 sent Time 1681.3999999995663
received Time: 2917.9999999984416	 sent Time 1681.3999999995663
