Run 1/1
Running simulation 'FL_A_Epidemic_50_SPMBM'
60.0 3873: 64.54 1/s
120.0 5216: 22.38 1/s
180.0 6126: 15.18 1/s
240.0 6647: 8.68 1/s
300.0 7137: 8.17 1/s
360.0 7527: 6.49 1/s
420.1 7881: 5.90 1/s
480.1 8398: 8.62 1/s
540.1 8972: 9.57 1/s
600.1 9589: 10.27 1/s
660.1 10208: 10.32 1/s
720.1 10669: 7.69 1/s
780.1 10994: 5.42 1/s
840.1 11311: 5.28 1/s
900.1 11631: 5.33 1/s
960.1 11941: 5.16 1/s
1020.1 12197: 4.27 1/s
1080.2 12451: 4.24 1/s
1140.2 12610: 2.65 1/s
1200.2 12840: 3.82 1/s
1260.2 13036: 3.27 1/s
1320.2 13285: 4.15 1/s
1380.2 13561: 4.60 1/s
1440.3 13796: 3.93 1/s
1500.3 14133: 5.60 1/s
Unique content gateway: 216 :: total unique content cache: 1
received Time: 8708.30000001415	 sent Time 5525.40000000257
received Time: 8708.50000001415	 sent Time 5525.40000000257
received Time: 7703.000000010492	 sent Time 5525.40000000257
received Time: 7703.500000010494	 sent Time 5525.40000000257
received Time: 7703.200000010493	 sent Time 5525.40000000257
received Time: 6089.600000004622	 sent Time 5525.40000000257
received Time: 7703.300000010493	 sent Time 5525.40000000257
received Time: 8708.40000001415	 sent Time 5525.40000000257
received Time: 8135.100000012064	 sent Time 5525.40000000257
received Time: 7702.900000010492	 sent Time 5525.40000000257
received Time: 7703.100000010492	 sent Time 5525.40000000257
received Time: 8708.100000014148	 sent Time 5525.40000000257
received Time: 7703.400000010493	 sent Time 5525.40000000257
received Time: 8135.200000012064	 sent Time 5525.40000000257
received Time: 8906.900000014872	 sent Time 5525.40000000257
received Time: 8135.600000012066	 sent Time 5525.40000000257
received Time: 8907.300000014873	 sent Time 5525.40000000257
received Time: 10104.100000019227	 sent Time 5525.40000000257
received Time: 8135.900000012067	 sent Time 5525.40000000257
received Time: 8134.00000001206	 sent Time 5525.40000000257
received Time: 6414.200000005803	 sent Time 5525.40000000257
received Time: 6659.100000006694	 sent Time 5525.40000000257
received Time: 8134.200000012061	 sent Time 5525.40000000257
